asset_id,ndsi,slope_deg,ndsi_source,dem_source
pn_sierra_nevada_senderismo_transnevada_rf_valor_fuente_de_las_primeras_agua_000,-0.3932,13.75,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_rg_yegen_mecina_bombaron_yegen_001,-0.4083,16.04,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_rh_capileira_refugio_poqueira_002,-0.2374,12.41,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_rj_portugos_barranco_bermejo_portugo_003,-0.3804,17.29,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_rk_padre_eterno_ar_puente_palo_padre_004,-0.1411,16.66,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_rc_abrucena_la_polarda_005,,14.89,,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_rd_laujar_andarax_loma_raspa_laujar__006,-0.4819,14.58,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_ri_niguelas_la_rinconada_niguelas_007,-0.4716,19.62,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_acequias_del_poqueira_008,-0.0534,14.05,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_canal_de_la_espartera_arenales_del_trevenque_009,-0.4724,11.72,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_cerro_huenes_010,-0.5231,14.27,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_el_aguadero_011,-0.4965,14.68,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_haza_larguilla_012,-0.4986,6.22,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_hoya_del_portillo_refugio_poqueira_013,0.0936,13.79,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_jerez_del_marquesado_postero_alto_014,-0.4822,15.47,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_ragua_aldeire_015,-0.4427,12.75,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_invierno_016,-0.2626,14.29,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_verano_017,-0.3663,14.72,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_ra_guejar_sierra_pena_partida_018,-0.4984,14.95,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_rb_lanteira_postero_alto_lanteira_019,-0.4667,11.09,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_transnevada_re_bayarcal_laguna_seca_020,-0.4285,14.57,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_la_cebadilla_021,-0.3644,12.88,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_la_silleta_022,-0.4615,5.11,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_lanjaron_tello_023,-0.3847,19.15,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_molinos_de_isfalada_024,-0.3774,5.77,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_monterrey_025,-0.4978,14.67,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_puente_palo_026,0.3493,20.44,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_ragua_hoyos_de_pura_027,-0.4614,10.31,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_ragua_lagunilla_seca_028,-0.4797,13.1,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_rio_alhama_029,,16.52,,cop-dem-glo-30
pn_sierra_nevada_senderismo_rio_bermejo_030,-0.4185,17.52,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_rio_grande_de_los_berchules_031,-0.3504,20.33,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_trevelez_siete_lagunas_032,0.4781,15.28,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_ubeire_033,-0.4356,8.11,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_sulayr_034,-0.3107,17.53,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_carril_cicloturista_la_zubia_cumbres_verdes_035,-0.4676,3.48,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_dehesa_del_camarate_036,-0.49,13.76,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_pueblos_del_poqueira_037,-0.3914,12.41,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_senderismo_ragua_barranco_del_hornillo_038,-0.452,13.6,S2_NDSI_2024-02,cop-dem-glo-30
pn_sierra_nevada_ciclismo_transnevada_rf_valor_fuente_de_las_primeras_agua_039,-0.3932,13.75,S2_NDSI_2024-02,cop-dem-glo-30
