ine_code,name,province,notes
18010,Aldeire,Granada,
18030,Bérchules,Granada,
18032,Bubión,Granada,
18033,Busquístar,Granada,
18035,Cádiar,Granada,
18114,"Calahorra, La",Granada,
18040,Cáñar,Granada,
18042,Capileira,Granada,
18068,Dílar,Granada,
18094,Güéjar Sierra,Granada,
18108,Jérez del Marquesado,Granada,
18116,Lanjarón,Granada,
18117,Lanteira,Granada,
18134,Monachil,Granada,
18143,Nigüelas,Granada,
18151,Pampaneira,Granada,
18163,Pórtugos,Granada,
18176,Soportújar,Granada,
18180,Trevélez,Granada,
18183,Válor,Granada,
18904,Alpujarra de la Sierra,Granada,"Fusión 1971 de Mecina Bombarón + Yegen; ambos topónimos de trail resuelven a este único código INE (municipio único desde la fusión)."
04002,Abrucena,Almería,
04020,Bayárcal,Almería,
04057,Laujar de Andarax,Almería,
