asset_id,2023-12,2024-01,2024-02,2024-03,snowpack_duration_periods
pn_sierra_nevada_senderismo_transnevada_rf_valor_fuente_de_las_primeras_agua_000,-0.4023,-0.4036,-0.4031,,0
pn_sierra_nevada_senderismo_transnevada_rg_yegen_mecina_bombaron_yegen_001,-0.3542,-0.3613,-0.3493,,0
pn_sierra_nevada_senderismo_transnevada_rh_capileira_refugio_poqueira_002,-0.3371,-0.1229,-0.1748,,0
pn_sierra_nevada_senderismo_transnevada_rj_portugos_barranco_bermejo_portugo_003,-0.4081,-0.4118,-0.4343,,0
pn_sierra_nevada_senderismo_transnevada_rk_padre_eterno_ar_puente_palo_padre_004,-0.4101,-0.4031,-0.4393,,0
pn_sierra_nevada_senderismo_transnevada_rc_abrucena_la_polarda_005,-0.3931,-0.3621,-0.3908,,0
pn_sierra_nevada_senderismo_transnevada_rd_laujar_andarax_loma_raspa_laujar__006,-0.4227,-0.422,-0.4231,,0
pn_sierra_nevada_senderismo_transnevada_ri_niguelas_la_rinconada_niguelas_007,-0.3813,-0.1288,-0.385,,0
pn_sierra_nevada_senderismo_acequias_del_poqueira_008,-0.4416,-0.3078,-0.4287,,0
pn_sierra_nevada_senderismo_canal_de_la_espartera_arenales_del_trevenque_009,-0.4574,-0.3794,-0.463,,0
pn_sierra_nevada_senderismo_cerro_huenes_010,-0.4867,-0.3045,-0.4963,,0
pn_sierra_nevada_senderismo_el_aguadero_011,-0.4296,-0.421,-0.436,,0
pn_sierra_nevada_senderismo_haza_larguilla_012,-0.4422,-0.454,-0.4486,,0
pn_sierra_nevada_senderismo_hoya_del_portillo_refugio_poqueira_013,-0.3799,0.2938,-0.258,,0
pn_sierra_nevada_senderismo_jerez_del_marquesado_postero_alto_014,-0.416,-0.3847,-0.4125,,0
pn_sierra_nevada_senderismo_ragua_aldeire_015,-0.4706,-0.2386,-0.4692,,0
pn_sierra_nevada_senderismo_transnevada_invierno_016,-0.4494,-0.3794,-0.4362,,0
pn_sierra_nevada_senderismo_transnevada_verano_017,-0.4373,-0.3421,-0.4242,,0
pn_sierra_nevada_senderismo_transnevada_ra_guejar_sierra_pena_partida_018,-0.4454,0.1337,-0.4173,,0
pn_sierra_nevada_senderismo_transnevada_rb_lanteira_postero_alto_lanteira_019,-0.4351,-0.3978,-0.4272,,0
pn_sierra_nevada_senderismo_transnevada_re_bayarcal_laguna_seca_020,-0.428,-0.3562,-0.4257,,0
pn_sierra_nevada_senderismo_la_cebadilla_021,-0.4809,-0.4535,-0.4804,,0
pn_sierra_nevada_senderismo_la_silleta_022,-0.4692,-0.496,-0.4787,,0
pn_sierra_nevada_senderismo_lanjaron_tello_023,-0.4855,-0.4968,-0.4941,,0
pn_sierra_nevada_senderismo_molinos_de_isfalada_024,-0.4272,-0.4466,-0.425,,0
pn_sierra_nevada_senderismo_monterrey_025,-0.465,-0.4593,-0.4683,,0
pn_sierra_nevada_senderismo_puente_palo_026,-0.5371,-0.4979,-0.5409,,0
pn_sierra_nevada_senderismo_ragua_hoyos_de_pura_027,-0.4505,-0.1059,-0.4494,,0
pn_sierra_nevada_senderismo_ragua_lagunilla_seca_028,-0.4575,0.2529,-0.4157,,0
pn_sierra_nevada_senderismo_rio_alhama_029,-0.5028,-0.5044,-0.4957,,0
pn_sierra_nevada_senderismo_rio_bermejo_030,-0.461,-0.4626,,,0
pn_sierra_nevada_senderismo_rio_grande_de_los_berchules_031,-0.4437,-0.3848,-0.4561,,0
pn_sierra_nevada_senderismo_trevelez_siete_lagunas_032,-0.3797,-0.0277,-0.2446,,0
pn_sierra_nevada_senderismo_ubeire_033,-0.584,-0.5912,-0.5687,,0
pn_sierra_nevada_senderismo_sulayr_034,-0.4328,-0.2386,-0.434,,0
pn_sierra_nevada_senderismo_carril_cicloturista_la_zubia_cumbres_verdes_035,-0.4789,-0.5021,-0.5064,,0
pn_sierra_nevada_senderismo_dehesa_del_camarate_036,-0.5122,-0.2034,-0.5122,,0
pn_sierra_nevada_senderismo_pueblos_del_poqueira_037,-0.4796,-0.4713,-0.4937,,0
pn_sierra_nevada_senderismo_ragua_barranco_del_hornillo_038,-0.5153,-0.1357,-0.5163,,0
pn_sierra_nevada_ciclismo_transnevada_rf_valor_fuente_de_las_primeras_agua_039,-0.4023,-0.4036,-0.4031,,0
pn_sierra_nevada_ciclismo_transnevada_rg_yegen_mecina_bombaron_yegen_040,-0.3542,-0.3613,-0.3493,,0
pn_sierra_nevada_ciclismo_transnevada_rh_capileira_refugio_poqueira_041,-0.3371,-0.1229,-0.1748,,0
pn_sierra_nevada_ciclismo_transnevada_rj_portugos_barranco_bermejo_portugo_042,-0.4081,-0.4118,-0.4343,,0
pn_sierra_nevada_ciclismo_transnevada_rk_padre_eterno_ar_puente_palo_padre_043,-0.4101,-0.4031,-0.4393,,0
pn_sierra_nevada_ciclismo_transnevada_rc_abrucena_la_polarda_044,-0.3931,-0.3621,-0.3908,,0
pn_sierra_nevada_ciclismo_transnevada_rd_laujar_andarax_loma_raspa_laujar__045,-0.4227,-0.422,-0.4231,,0
pn_sierra_nevada_ciclismo_transnevada_ri_niguelas_la_rinconada_niguelas_046,-0.3813,-0.1288,-0.385,,0
pn_sierra_nevada_ciclismo_transnevada_invierno_047,-0.4494,-0.3794,-0.4362,,0
pn_sierra_nevada_ciclismo_transnevada_verano_048,-0.4373,-0.3421,-0.4242,,0
pn_sierra_nevada_ciclismo_transnevada_ra_guejar_sierra_pena_partida_049,-0.4454,0.1337,-0.4173,,0
pn_sierra_nevada_ciclismo_transnevada_rb_lanteira_postero_alto_lanteira_050,-0.4351,-0.3978,-0.4272,,0
pn_sierra_nevada_ciclismo_transnevada_re_bayarcal_laguna_seca_051,-0.428,-0.3562,-0.4257,,0
pn_sierra_nevada_ciclismo_carril_cicloturista_la_zubia_cumbres_verdes_052,-0.4789,-0.5021,-0.5064,,0
